Community,Religieux-Religieuses,Corps,Corps-Officiel,Province,Site,Site-2,Country,lat,lon,Number-Approx,Total Enslaved Persons,Empire,sphere,Approximate Year of Data,Reference,Note,NamesofReligious,RefRel,Contract of Founding,Summary of Contract,Ref for Contract
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Vieux-Fort, Marie-Galante, Guadeloupe",Vieux fort de Marie Galante,Guadeloupe,15.9880992,-61.30229787,2,2,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Capesterre-de-Marie-Galante, Guadeloupe",de la Capestere,Guadeloupe,15.89056613,-61.22288482,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Vieux-Fort, Guadeloupe",St. Albert du Vieux fort,Guadeloupe,15.949307,-61.69142316,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Trois-Rivières, Guadeloupe",des 3 rivieres,Guadeloupe,15.97597478,-61.64057593,4,4,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Saint-Claude, Guadeloupe",du Parc,Guadeloupe,16.04416125,-61.69343222,4,4,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Basse-Terre, Guadeloupe",du Mont-Carmel,Guadeloupe,15.99059975,-61.72022562,11,11,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 387–388.",,,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Le dos d'Âne, Guadeloupe","""Caffeyer"" des Carmes",Guadeloupe,16.31098727,-61.75518904,20,20,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 389.","""Plus une Caffeyer ayant trente cinq quarrés etablie par le D. Fare de Societé avec les Religieux suivant l’acte passé devant Notaires le premier Janvier 1770, de laquelle les ustanciles sont declarés appartenir au Sieur Fare et les esclaves au nombre de 20 aux Religieux"" (p. 389)",,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Basse-Terre, Guadeloupe","Habitation du Mont Carmel, Montagne Beau Soleil",Guadeloupe,16.01092879,-61.7086333,25,25,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 389.","""Plus une autre habitation dite le Mont-Carmel Situé sur la Montagne de Beau Soleil quartier de la basse terre affermée depuis le 30 Juillet 1773 au S. Botret, elle contient 48 Quarrés sur lesquels est située la maison principale avec un Jardin potager[,] moulin à Eau 27 Quarrés de Cannes de Manioc[,] 5 de Manioc[,] 60 Quarrés en bois de bout[,] 140 Quarrés[,] Plus 25 Negres Sur la dite habitation appartenant aux Carmes "" (pp. 389-390)",,,,,
Carmelites,Religieux,Carmes réformés,Ordre des Frères de Notre-Dame du Mont Carmel,Order of the Brothers of the Blessed Virgin Mary of Mount Carmel ,"Le dos d'Âne, Guadeloupe",Habitation du Mont Carmel,Guadeloupe,16.0252077,-61.66321593,227,227,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 389. ""État des biens et revenus des Carmes, dressé en (1741, 1743)."" Archives Nationales d'Outre-Mer, F5/A/7/3. Aix-en-Provence. Dussert-Vidalet, Bernadette. ""L'habitation du Mont-Carmel."" <em>Bulletin de la Société d'Histoire de la Guadeloupe</em>, no. 32 (1977): 5–23.","""Le même inventaire [de 1773] constate que les Carmes ont une habitation au quartier du Dos d’ane ou il se trouve 227 Esclaves depuis l’âge d’un an jusqu’à celui de 76."" (""Etat du Clergé..."" p. 389). According to a declaration made in 1743, the Carmelite fathers served seven parishes in the French Antilles (3 on Guadeloupe, 1 in Les Saintes, 3 on Marie-Galante). The central Carmelite Convent, located in Guadeloupe, provided each parish with an average of three enslaved workers to serve the priests and maintain church buildings and grounds. The Carmelites also  possessed two sugar plantations on Guadeloupe to support their missions, the oldest at Montagne de Beau Soleil (known as “Mont Carmel”) and another at Belle-Vue, both near the town of Basse-Terre. The Mont Carmel plantation counted 57 enslaved dependents in 1772, predominantly of Igbo descent (but also Bambara, Arada, and Congo). Note, in the 1740s, the habitation had 78 enslaved persons. ",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,,"Salt River, St. Croix",Rivière Salée,US Virgin Islands,17.76902847,-64.76051756,15,15,French,2,1681,"""Rolle général des habitants de l'isle de Sainte Croix avec le dénombrement de leurs femmes et enfans par compagnies"" (April 16, 1681). Archives Nationales d'Outre-Mer, G1/498, fol. 70. Jan, Jean-Marie. <em>Les congrégations religieuses au Cap Français, Saint-Domingue, 1681–1793</em>. Port-au-Prince: H. Deschamps, 1951, 9.","According to a 1681 census of the island of Sainte-Croix (now Saint Croix in the U.S. Virgin Islands), slaveholding Dominicans were among the earliest residents. During this period, the island was under French colonial control (1650–1733) and played a key role in the Caribbean's plantation economy, particularly in sugar production. After being sold to Denmark, Sainte-Croix later became part of the U.S. Virgin Islands in 1917. The Dominicans ran an early mission station on the island of Sainte Croix. The French colony there was evacuated to Saint Domingue at the end of the seventeenth century amidst war with Great Britain and the Netherlands.",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,,[Sainte-Lucie],[Sainte-Lucie],Saint Lucia,13.883333,-60.966667,1,Unknown Number,French,2,1783,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 401.","""Les Dominicains desservent les paroisses de cette colonie. Elles sont sous l’inspection du prefet de la Martinique[.] Je n’ai aucun renseignement a leur sujet. Je sai [sic] seulement qu’elles sont au nombre de six et elles doivent se multiplier en raison de l’etendue des défrichemens. Le Gouvernement ne s’est occupé de l’état spirituel de cette Isle que depuis le traité de paix de 1763.  On ignore si, depuis qu’elle est tombé entre les mains des Anglais Les missionnaires en ont été congédiés."" (p. 401) The island was restored to France in 1783 (shortly after this report was authored).",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of the Iles du Vent,Saint-Pierre,Maison de Saint-Pierre,Martinique,14.73868279,-61.17460559,59,59,French,2,1784,"""Transmission d'un état des biens des Dominicains à la Martinique par les administrateurs,"" June 12, 1785. Archives Nationales d'Outre-Mer, F5 A 12. Aix-en-Provence.","A 1784 report by the Dominicans documenting their expenses and revenues, includes a passage on the costs associated with maintaining Maison de St. Pierre, the urban headquarters of the Dominican mission, totaling 46,477 livres. This includes costs for clothing 59 enslaved servants who performed various crucial roles such as domestic chores, gardening, porter duties, personal assistance to residents, manual labor, support for religious activities, and specialized trades. These enslaved individuals would have played essential roles in the daily operations and upkeep of the mission headquarters under the supervision of its leadership.",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of the Iles du Vent,"Sainte-Marie, Martinique",Fond Saint Jacques,Martinique,14.73,-61.02,574,574,French,2,1793,"Debien, Gabriel. <em>Les esclaves aux Antilles françaises, XVIIe–XVIIIe siècles</em>. Basse-Terre: Société d'histoire de la Guadeloupe, 1974, 214. Ministère de la Culture. ""Demeure dite Habitation Fonds-Saint-Jacques, actuellement Centre Culturel Départemental."" <em>Base Mérimée</em>, POP: La Plateforme Ouverte du Patrimoine. Last modified 2003. https://www.pop.culture.gouv.fr/notice/merimee/IA97201352.","By 1784, Dominicans claimed to own 500 slaves on their sprawling sugar plantation of Fond Saint-Jacques (in Sainte-Marie, Martinique), the project of the influential missionary author Père Labat. By the time it was placed under the control of the government in 1793, there were 574 enslaved workers.",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Port-au-Prince, Haiti",Port au Prince,Haiti,18.5944,-72.3074,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 16. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Tiburon, Haiti",Tiburon,Haiti,18.3244,-74.3961,1,1,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 09. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Aquin, Haiti",Aquin,Haiti,18.2807,-73.3959,2,2,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 04. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Fonds-des-Nègres, Haiti",Fond des Negres,Haiti,18.3675,-73.2264,3,3,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 03. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Jérémie, Haiti",Jérémie,Haiti,18.639,-74.1181,3,3,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 10. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Mirebalais, Haiti",le Mirebalais,Haiti,18.835,-72.1031,3,3,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 19. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Côteaux, Haiti",les Coteaux,Haiti,18.2073,-74.0403,3,3,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 08. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Petit-Trou-de-Nippes, Haiti",[Petit] Trou,Haiti,18.5264,-73.5079,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 11. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Cayes-Jacmel, Haiti",Cayes de Jacmel,Haiti,18.2314,-72.3955,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 01. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Gonaives, Haiti",Gonaives,Haiti,19.44405,-72.690224,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 23. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Anse-à-Veau, Haiti",l'Anse a Veau,Haiti,18.5004,-73.3458,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 12. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Saint-Louis-du-Sud, Haiti",St. Louis,Haiti,18.2619,-73.5484,4,4,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 05. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Les Cayes, Haiti",Cayes du Fond,Haiti,18.19285749,-73.74797683,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 06. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Grand-Goâve, Haiti",Grand Goave,Haiti,18.4248,-72.7703,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 14. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Jacmel, Haiti",Jacmel,Haiti,18.243,-72.5264,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 02. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Arcahaie, Haiti",l'Arcaye,Haiti,18.7703,-72.5131,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 18. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Verrettes, Haiti",les Verettes,Haiti,19.0487,-72.4702,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 20. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Petite-Rivière-de-l'Artibonite, Haiti",Pte. Riviere,Haiti,19.1226,-72.4776,5,5,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 21. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Torbeck, Haiti",Torbeck,Haiti,18.1646,-73.811,6,6,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 07. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Léogane, Haiti",Léogane,Haiti,18.51078427,-72.63217359,7,7,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 15. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Petit-Goâve, Haiti",Pt. Goave,Haiti,18.4311,-72.8545,11,11,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 13. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Croix-des-Bouquets, Haiti",la Croix des Bouquets,Haiti,18.5812,-72.2305,12,12,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 17. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Saint-Marc, Haiti",St. Marc,Haiti,19.1049,-72.6949,12,12,French,2,1773,"""Inventaire des biens des missions, 1773."" Archives Nationales d'Outre-Mer, COL F51 22. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Cavaillon, Haiti",Habitation de Cavaillon,Haiti,18.3009,-73.658,126,126,French,2,1773,"""Lettre ... avec résumé 15 août 1773."" Archives Nationales d'Outre-Mer. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Saint-Domingue,"Léogane, Haiti",Habitation de Léogane,Haiti,18.5128,-72.624,174,174,French,2,1773,"""Lettre d'envoi des administrateurs au ministre, avec résumé 15 août 1773."" Archives Nationales d'Outre-Mer. Aix-en-Provence.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Baillif, Guadeloupe",Bailly,Guadeloupe,16.02,-61.75,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Bouillante, Guadeloupe",Brouillante,Guadeloupe,16.1,-61.75,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Deshaies, Guadeloupe",Deshayes,Guadeloupe,16.30677928,-61.79364326,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Pointe-Noire, Guadeloupe",La Pointe noire,Guadeloupe,16.2167,-61.7667,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Lamentin, Guadeloupe",Lamentin,Guadeloupe,16.27151805,-61.63231056,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Sainte-Rose, Guadeloupe",Ste. Rose ou Cul de Sac,Guadeloupe,16.3333,-61.7,0,0,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Baie-Mahault, Guadeloupe",de St. Jean Baptiste de la Bayement,Guadeloupe,16.26737155,-61.58598091,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Capesterre-Belle-Eau, Guadeloupe",La Capistere,Guadeloupe,16.04289845,-61.56652418,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Goyave, Guadeloupe",Ste. Anne de la Goave,Guadeloupe,16.13,-61.57,3,3,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 391–394.",,,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Basse-Terre, Guadeloupe",[Basse-Terre],Guadeloupe,16.01117631,-61.7456008,49,49,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, pp. 389, 394.","The author of the ""État du Clergé du département de la Marine"" report (1782), adding up the number of enslaved dependents of the Dominicans in Guadeloupe, writes: ""Plus 36 [Esclaves] pour le Service des paroisses independamment des neuf ci dessus ce qui fait en tout 124 Negres."" (p. 394) ""Plus 13 Negres pour le Service de la Maison conventuelle."" (p. 393)",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,"Baillif, Guadeloupe",Habitation Grand-Marigot,Guadeloupe,16.0295,-61.7195,366,366,French,2,1773,"""État du Clergé du département de la Marine en 1782."" Service historique de la Défense, Fonds de la bibliothèque de la Marine, G191, p. 389. Archives Nationales d'Outre-Mer. ""Grand-Marigot, Habitation (Baillif; Guadeloupe, île de la)."" http://anom.archivesnationales.culture.gouv.fr/geo.php?lieu=Grand-Marigot%2C+Habitation+%28Baillif+%3B+Guadeloupe%2C+%C3%AEle+de+la%29.","""L’inventaire de 1773 constate que les Dominicains ont une habitation à la paroisse de Bailli, ou il s’est trouvé 340 Negres non compris 26 Suragés tous occupés à la Culture. "" (p. 393) The name of the habitation (Marigot) from Louis Guilbaud, Les Étapes de la Guadeloupe religieuse (Basse-Terre, Guadeloupe: Imprimerie Catholique, 1935), p. 54.  ""Grand-Marigot: Habitation située au nord-est du bourg. Elle appartenait aux Dominicains depuis 1636, comme celle du Petit-Marigot et devint bien national à la Révolution française.""",,,,,
Dominicans,Religieux,Dominicains,Ordre des Prêcheurs,Dominicans of Guadeloupe,[Grenada],Grenade,Grenada,12.105,-61.686,100,At least 100,French,2,1765,"Letter from the Dominicans of Martinique to the Minister of the Marine, the Duc de Praslin. Archives Nationales d'Outre-Mer, COL F5 A 10/2. https://recherche-anom.culture.gouv.fr/ark:/61561/ou533nhlmgh. ""Smitts, Anglais habitant de la Grenade, acquéreur d'une habitation des Dominicains de la Martinique,"" 1763. Archives Nationales d'Outre-Mer, COL E 371BIS. https://recherche-anom.culture.gouv.fr/ark:/61561/up424mgmnhhi.","By the time of the cession of Grenada to the British empire, Dominicans from Martinique owned two plantations on the island. They transported 100 enslaved persons from that island to Martinique after having sold their lands to English buyers.",,,,,
Company of Mary Our Lady,Religieuses,Filles de Notre-Dame ,Compagnie de Notre-Dame ,,"Cap-Haïtien, Haiti",le Cap,Haiti,19.76126974,-72.20326303,11,11,French,2,1786,"Cabon, R. P. ""Les Religieuses du Cap à Saint-Domingue (suite et fin)."" <em>Revue d'histoire de l'Amérique française</em> 3, no. 3 (1949): 402. https://doi.org/10.7202/801579ar.","A letter dated February 24, 1786, written from Cap Français, described the convent of the Filles de Notre-Dame in that city. The convent was very spacious, well-ventilated, and situated between two gardens filled with fragrant orange trees. The author notes that three enslaved people arrived to work in the gardens every day but went home at night, then admitted that ""it is true that they [the Sisters] have eleven négresses for the needs of the household,"" but lamented that the King refused to provide the community with more enslaved labor, claiming that they already had enough servants.


",,,1732?,,Jan - Collecta Tome 1 p. 54
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,"Le Morne Rouge, Martinique",Champflore (Le Morne-Rouge),Martinique,14.7593027,-61.12527639,66,66,French,2,1777,"Ministère de la Culture. ""Notice IA97200188."" <em>POP: La Plateforme Ouverte du Patrimoine</em>. https://www.pop.culture.gouv.fr/notice/merimee/IA97200188. Archives Nationales d'Outre-Mer. ""Champflore, Lieu-dit (Le Morne-Rouge; Martinique, Île de la)."" http://anom.archivesnationales.culture.gouv.fr/geo.php?lieu=Champflore%2C+Lieu-dit+(Le+Morne-Rouge+%3B+Martinique%2C+%C3%8Ele+de+la).","The Pères de la Charité owned land in Champflore (Le Morne-Rouge, Martinique) to support the maintenance of their hospital in Saint-Pierre (entrusted to them since 1685). They purchased a plantation there in 1777, and the property sale description included buildings, plantations of cassava, coffee, and cocoa, sugar manufacturing utensils, copper boilers, a rum boiler, 3 horses, 2 mares, 1 foal, 1 mule, 23 horned cattle, and a chapel for 120,000 livres. The plantation was purchased with 66 enslaved individuals, who would have joined those already owned by the Pères de la Charité. The Pères de la Charité retained its use after the French Revolution, although it became part of the national domain. Currently, only the manager's house remains from the original estate. After World War II, a Mr. de Meyac became the new owner, but in 1963, the S.A.F.E.R. (Société d'Aménagement Foncier et d'Établissement Rural) bought a large portion of the land for the former property workers.",,,,,
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,"Fort-de-France, Martinique",Fort-Royal,Martinique,14.60786158,-61.07263992,82,82,French,2,1793,"Pierre Louis, Jessica. ""2/3 des esclaves au service des malades."" <em>Tanlistwa</em>. April 21, 2020. https://tanlistwa.com/2020/04/21/lhopital-militaire-de-fort-de-france-2-3-des-esclaves-au-service-des-malades-a/.","Jessica Pierre-Louis, based on her reading of notarial records, has discovered that in 1793, Fort-Royal's military hospital had 82 slaves working under the Pères de la Charité: 17 field workers, 16 linen and bedding workers, 16 in patient care, 10 food workers, 7 table service workers, 4 carpenters, 1 carter, 1 officer’s domestic worker, 1 general domestic worker, 1 domestique chasseur (hunter), and 1 sailor.",,,,,
Brothers Hospitallers,Religieux,Frères de la Charité,Ordre hospitalier de Saint-Jean-de-Dieu,Brothers Hospitallers of Saint John of God,Les Cayes,"Les Cayes, Saint-Domingue",Haiti,18.2043,-73.7537,1,Unknown Number,French,2,1765,"<em>Mémoire et consultation concernant un hôpital fondé par le feu sieur Staffort dans la paroisse des Cayes-du-Fond-de-l'Ile-à-Vache, en l'île S. Domingue</em>. Cap-François: chez Marie, 1765.","One Saint-Domingue planter (a naturalized Irishman) bequeathed all his property (and slaves) to go toward the foundation of a new hospital in Les Cayes, in the South. He expressly requested that the Freres not be involved in the management of the plantation property that would support their operations but to remain fully dedicated to caring for the sick.",,,"1719, 1732","In March 1719, Letters Patent were granted for two hospitals in Saint-Domingue to serve poor, sick, and injured men, providing medical treatment and necessary surgeries for their recovery, expanding the King's original intent for soldiers and sailors to include the poor. A dispute between the Brothers and Jesuits in Cap led to this solution. The Brothers received authorization to administer sacraments, conduct divine services, and bury the dead through priests of their choice, under the authority of the Provincial and Vicar General in France, recognizing their exemption from local ecclesiastical authorities based on Papal privileges, often leading to conflicts. The King granted them significant advantages, including ownership of churches, convents, hospitals, buildings, lands, and general property in Cap and Léogâne. The Provincial could change superiors at will, and the hospitals were under the King's special protection. The Brothers could slaughter animals for their own consumption, display France's arms on buildings, acquire property, receive donations, and collect alms in churches. They and their servants, both white and black, were exempt from guard duty, forced labor, and taxes for up to 50 servants in cultivation. They could import necessary goods from France without paying export or import duties, and free passage overseas was granted to the Brothers. In 1732, new Letters Patent reaffirmed the establishment and continuous progress of these hospitals.





",Jan - Collecta Tome 1 p. 54
